ID_TRX;Fecha;ID_Cliente;Monto
31601;7/2/2022;1066392024;40
33435;7/2/2022;3618552024;25,98
34437;7/2/2022;1055503011;69,28
42550;7/2/2022;2307048011;16,5
13122;8/2/2022;7212405026;30
16344;8/2/2022;2100004013;30
18994;8/2/2022;3558196014;60
23327;8/2/2022;78300017;43,2
28244;8/2/2022;1737873016;50,01
28875;8/2/2022;7078376014;63,3
29818;8/2/2022;1067156030;20
32993;8/2/2022;7005847012;27,01
33286;8/2/2022;1098018029;40,04
36459;8/2/2022;1075285011;28,55
38348;8/2/2022;2119763013;34,16
41283;8/2/2022;1344069057;93,42
42817;8/2/2022;1226862025;50
42983;8/2/2022;49058025;40
280;9/2/2022;1117745014;40,01
1535;9/2/2022;7078376014;51
8230;9/2/2022;45431010;46,11
11384;9/2/2022;1359234018;95,09
17614;9/2/2022;1044492013;20
23150;9/2/2022;3592563013;60
29292;9/2/2022;1100953013;40
33869;9/2/2022;1139985010;21,5
34980;9/2/2022;2252444017;73,38
36451;9/2/2022;1275582019;49,49
40378;9/2/2022;3775553021;20
41048;9/2/2022;1152040016;33,75
321;10/2/2022;7039213017;66,4
2697;10/2/2022;14807018;64
3307;10/2/2022;1395391038;56
5381;10/2/2022;3766631026;72,6
7091;10/2/2022;7187741025;80,85
7128;10/2/2022;1382780029;33,59
9926;10/2/2022;3704576010;70
14075;10/2/2022;44081014;66,95
14625;10/2/2022;1015199017;77,24
15203;10/2/2022;2348187018;107,8
15593;10/2/2022;1291369011;43
16064;10/2/2022;1208397014;30
17382;10/2/2022;1067156030;30
17608;10/2/2022;3220145027;30
17801;10/2/2022;1167373014;58,44
18509;10/2/2022;2323813018;79
21274;10/2/2022;2205781010;54,36
23589;10/2/2022;3746135031;50,1
25552;10/2/2022;1334439021;51,6
29195;10/2/2022;7183170021;60,01
29612;10/2/2022;1021117011;50
31073;10/2/2022;3947491019;30
31161;10/2/2022;46408025;50
32802;10/2/2022;2316429012;20
34567;10/2/2022;1156857019;83,01
39023;10/2/2022;1067156030;40
40002;10/2/2022;1320364019;30
40782;10/2/2022;20719017;9,72
34;11/2/2022;3771410010;46,4
1020;11/2/2022;2307048011;47,57
2550;11/2/2022;81769018;68,8
2776;11/2/2022;2249029012;51,99
4142;11/2/2022;2156731014;40
4776;11/2/2022;40596015;71,5
5155;11/2/2022;1123039014;72,72
5516;11/2/2022;2319600015;40
12864;11/2/2022;7040731015;33,01
13010;11/2/2022;3857788016;25,72
15681;11/2/2022;2277110015;57
15848;11/2/2022;3184937013;50
15998;11/2/2022;2324989015;26,91
17229;11/2/2022;1068882014;40
20114;11/2/2022;3489798029;46,15
20289;11/2/2022;49012022;30
20414;11/2/2022;1156480010;40
20908;11/2/2022;1069356018;76,32
23761;11/2/2022;1255818104;77,4
24870;11/2/2022;3483915017;76,8
27982;11/2/2022;2106084027;58,4
31397;11/2/2022;3926635016;40
31937;11/2/2022;2162322014;48,8
32607;11/2/2022;2057826012;40
34265;11/2/2022;1327835029;25
34534;11/2/2022;2224627012;40
34894;11/2/2022;66052018;64,4
37280;11/2/2022;3769152020;50
39644;11/2/2022;2062834019;61,81
